#{"t_start": 1786555883.2212844, "env_id": "None"}
r,l,t
-11.985629,24,2.14485
-7.955279,14,2.312227
-9.801485,10,2.384929
-7.72871,24,2.512205
-13.016662,20,2.605096
-10.720276,21,2.712646
-5.485626,40,2.831336
-13.045982,14,2.91175
-10.218845,21,3.010996
-9.19996,24,3.126405
-11.466544,13,3.242819
-9.824425,28,3.375628
-10.799216,27,3.489094
-9.843991,15,3.578251
-9.707064,17,3.66714
-9.840161,13,3.748715
-9.757172,11,3.824054
-9.072559,17,3.933035
-11.992771,23,4.027638
-8.733595,15,4.110851
-11.102834,19,4.201939
-9.076933,14,4.279786
-10.093843,14,4.362434
-10.319731,10,4.443105
-6.579779,30,4.550247
-14.393847,15,4.634386
-9.491003,13,4.711873
-9.974761,14,4.795244
-9.269374,12,4.876813
-9.565954,20,4.965581
-11.417969,18,5.051556
-9.410401,13,5.128052
-9.719741,15,5.210849
-10.53655,14,5.291838
-11.900122,23,5.387663
-9.067507,24,5.512642
-7.87487,15,5.594097
-10.251109,12,5.670572
-10.459283,10,5.748395
-4.857353,33,5.859158
